urls,names,bio
"https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%80%D0%BE%D0%BD%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87","Воронов, Владимир Михайлович","Владимир Михайлович Воронов (20 мая 1965, Абакан – 29 августа 2020) — тренер-преподаватель высшей категории по дзюдо и самбо СДЮСШОР имени Александра Невского, заместитель начальника физкультурно-оздоровительного комбината по спортивной работе открытого акционерного общества «Оскольский электрометаллургический комбинат», вице-президент областной федерации самбо и дзюдо. Тренер команды по ММА Imperial Team и клуба Red Devil."
"https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BD%D0%B4%D0%BB%D0%B8%D0%BD,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%98%D0%BB%D1%8C%D0%B8%D1%87","Гендлин, Владимир Ильич","Влади́мир Ильи́ч (Хильевич) Ге́ндлин (26 мая 1936, Москва — 5 апреля 2021, там же[2]) — российский спортивный комментатор, журналист, основоположник трансляций профессионального бокса на российском телевидении, эксперт по боксу. Мастер спорта СССР. Двукратный лауреат национального телевизионного конкурса «ТЭФИ»[3][4]."
"https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC%D1%83%D0%BB%D0%B0%D0%B4%D0%B6%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0,_%D0%9E%D0%BB%D1%8C%D0%B3%D0%B0_%D0%92%D0%B8%D1%82%D0%B0%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0","Домуладжанова, Ольга Витальевна","Ольга Витальевна Домуладжанова (12 января 1969, Ташкент — 14 мая 2021[1]) — заслуженный мастер спорта России (женский бокс)."
"https://ru.wikipedia.org/wiki/%D0%95%D0%B3%D0%B8%D0%BD,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D1%81%D0%BB%D0%B0%D0%B2_%D0%98%D0%B3%D0%BE%D1%80%D0%B5%D0%B2%D0%B8%D1%87","Егин, Владислав Игоревич","Владислав Игоревич Ѐгин (13 апреля 1989, Москва — 11 мая 2021) — российский хоккеист, защитник. В КХЛ выступал за хоккейный клуб «Автомобилист»[1][2]."
"https://ru.wikipedia.org/wiki/%D0%95%D0%B3%D0%BE%D1%80%D0%BE%D0%B2,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%A4%D1%91%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Егоров, Борис Фёдорович","Бори́с Фёдорович Его́ров (29 мая 1926, Балашов, Саратовская губерния — 3 октября 2020, Санкт-Петербург, Россия[1][2]) — советский и российский филолог, литературовед, историк, культуролог, мемуарист, видный специалист по истории русской литературы и общественной мысли ХІХ века. Доктор филологических наук, профессор, член Союза писателей Санкт-Петербурга (с 1982), член Всемирной ассоциации писателей Международный ПЕН-клуб (с 2003), академик Независимой академии эстетики и свободных искусств в Москве (с 1993)."
"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BB%D1%8C%D0%BA%D0%BE%D0%B2,_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87","Кульков, Василий Сергеевич","Васи́лий Серге́евич Кулько́в (11 июня 1966[1][2], Москва, РСФСР, СССР — 10 октября 2020[3]) — советский и российский футболист, защитник и полузащитник, игрок сборных СССР и России. Мастер спорта СССР (1989). Тренер."
"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D1%81%D1%8E%D1%82%D0%B0,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BB%D0%BE%D0%B2%D0%B8%D1%87","Максюта, Николай Кириллович","Никола́й Кири́ллович Максю́та (26 мая 1947[1], Захаровка, Кировоградская область[1] — 1 ноября 2020[2], Москва[3][4] или Московская область[5][6]) — российский государственный и политический деятель. Глава администрации Волгоградской области (1997—2010)."
"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%81%D1%81%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%A1%D0%B0%D0%BC%D0%BE%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87","Массарский, Александр Самойлович","Александр Самойлович Массарский (5 мая 1928, Городок — 18 декабря 2020, Санкт-Петербург) — советский каскадёр, тренер по самбо и дзюдо, изобретатель, кандидат педагогических наук. Заслуженный тренер РСФСР. Заслуженный работник культуры Российской Федерации. Заслуженный работник физической культуры Российской Федерации. Один из основателей советской школы каскадёров."
"https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BD%D1%8C%D1%88%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87","Меньшов, Владимир Валентинович","Влади́мир Валенти́нович Меньшо́в (17 сентября 1939, Баку — 5 июля 2021, Москва) — советский и российский актёр, кинорежиссёр, сценарист, продюсер, телеведущий, педагог; народный артист РСФСР (1989), лауреат Государственной премии СССР (1981), Государственной премии РСФСР имени Н. К. Крупской (1978) и премии Американской киноакадемии «Оскар»
в номинации «Лучший фильм на иностранном языке» за фильм «Москва слезам не верит» (1981). Председатель Общественного совета при ФСИН России (2010—2021)."
"https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%81%D0%B8%D0%BD,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D1%81%D0%BB%D0%B0%D0%B2_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87","Пасин, Владислав Сергеевич","Владислав Сергеевич Пасин (1929—2021) — русский советский писатель, прозаик, поэт, литературовед и краевед. Член Союза писателей России. Лауреат Всероссийской литературной премия имени А. К. Толстого «Серебряная лира» (2004) и Международной литературной премии имени Бояна (2014)."
"https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%83%D1%82%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87","Паутов, Анатолий Михайлович","Анатолий Михайлович Паутов (11 сентября 1943, Ленинград — 29 августа 2020[1]) — российский трубач, военный дирижёр, позднее — преподаватель по классу трубы и дирижёр духовых оркестров Московского государственного института музыки имени А. Г. Шнитке и Детской музыкальной школы имени М. И. Табакова, вёл класс трубы и камерного ансамбля в Российской государственной специализированной академии искусств. Заслуженный работник культуры России. Кандидат искусствоведения, профессор МГИМ имени А. Г. Шнитке."
"https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B3%D0%B0%D1%87%D1%91%D0%B2,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87","Рогачёв, Михаил Борисович","Михаил Борисович Рогачёв (29 сентября 1952, Рига, Латвийская ССР — 3 января 2021, Санкт-Петербург[2]) — учёный-историк[3], кандидат исторических наук. Общественный деятель. Член правления Международного исторического, правозащитного, благотворительного общества «Мемориала»[4][5]. Создатель Коми республиканского общественного фонда «Покаяние»[4][6]. Главный редактор Коми республиканского мартиролога жертв политических репрессий «Покаяние»[7][8]. Член жюри многих краеведческих конкурсов[9]. Организатор бесплатных краеведческих прогулок по Сыктывкару «Пешком по Усть-Сысольску»[10][11][12][13]. Составитель 12 томов (20 книг) «Покаяние» Коми республиканский мартиролог жертв массовых политических репрессий[14]."
"https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BD%D1%8F%D0%BA%D0%B8%D0%BD,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87","Синякин, Сергей Николаевич","Сергей Николаевич Синякин (18 мая 1953, пос. Пролетарий[1], Новгородская область — 24 ноября 2020[2], Волгоград) — современный российский писатель, подполковник милиции в запасе. Лауреат литературной премии имени А. и Б. Стругацких в области фантастической литературы за 1999 год."
"https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B4%D0%B0%D1%80%D0%BE%D0%B2,_%D0%90%D1%81%D0%BB%D0%B0%D0%BD_%D0%AD%D0%B4%D0%B8%D0%BA%D0%BE%D0%B2%D0%B8%D1%87","Фидаров, Аслан Эдикович","Асланбек Эдикович Фидаров (4 мая 1973 — 8 декабря 2020) — борец вольного стиля, победитель крупных международных турниров."
"https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D0%B5%D0%B7%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%AF%D0%BA%D0%BE%D0%B2%D0%BB%D0%B5%D0%B2%D0%B8%D1%87","Фрезинский, Борис Яковлевич","Бори́с Я́ковлевич Фрези́нский (10 января 1941, Ленинград, СССР — 3 декабря 2020, Санкт-Петербург) — советский и российский историк литературы, специалист по истории советской литературы и политической истории России XX века."
"https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%BF%D0%BE%D1%88%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2,_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87","Шапошников, Евгений Иванович","Евге́ний Ива́нович Ша́пошников (3 февраля 1942, хутор Большой Лог, Аксайский район, Ростовская область, РСФСР, СССР — 8 декабря 2020[1], Москва, Россия) — советский и российский военачальник, маршал авиации (26 августа 1991). Министр обороны СССР (август 1991 — февраль 1992), Главнокомандующий Объединёнными Вооружёнными Силами СНГ (1992—1993), Главнокомандующий ВВС — заместитель Министра обороны СССР (1990—1991). Член ЦК КПСС (1990—1991)."
"https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%BB%D0%B0%D0%B3%D0%B8%D0%BD,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%92%D1%8F%D1%87%D0%B5%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%B8%D1%87","Палагин, Сергей Вячеславович","Серге́й Вячесла́вович Пала́гин (26 марта 1968, Саратов, СССР — 6 ноября 2020[1], Краснодар, Россия) — российский военный лётчик, подполковник, участник боевых действий в ходе осетино-ингушского конфликта (октябрь — ноябрь 1992 года), Первой и Второй чеченских войн, антитеррористической операции в Дагестане (август — сентябрь 1999 года) и вооружённого конфликта в Южной Осетии (2008). Герой Российской Федерации (2004)."
"https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D1%83%D0%B4%D0%B5%D0%BD%D0%B5%D1%86%D0%BA%D0%B8%D0%B9,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Студенецкий, Михаил Владимирович","Михаи́л Влади́мирович Студене́цкий (6 марта 1934, Москва — 1 марта 2021[1]) — советский баскетболист, серебряный призёр Олимпийских игр. Заслуженный мастер спорта СССР (1956)."
"https://ru.wikipedia.org/wiki/%D0%A8%D1%83%D0%B2%D0%B0%D0%BB%D0%BE%D0%B2,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Шувалов, Виктор Григорьевич","Ви́ктор Григо́рьевич Шува́лов (15 декабря 1923, Наборные Сыреси, Симбирская губерния[1] — 18 апреля 2021, Москва[2]) — советский хоккеист (хоккей с мячом, хоккей с шайбой) и футболист, тренер. Заслуженный мастер спорта СССР по хоккею с шайбой (1954), мастер спорта СССР по футболу (1951)."
